PDB,pdb,ud,Hemetyp,Em_lit,ligup,ligdown,Elektrode,ax_qn,ax_ql,ax_qn_r,ax_ql_r,ligup_r,ligdown_r,Kategorie,HM,*_HIS/HIS,B_-/HIS,C_His/Met,Kategorie2,du ,uu ,ud ,dd 
2HPD,2HPD,du,B,-427.0,CYS,-,SHE,CYS/-,-/CYS,other,other,other,-,[],False,0,0,0,other,1,0,0,0
2V07,2V07,du,C,83.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
351C,351C,uu,C,276.0,MET,HIS,SCE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,0,1,0,0
4K8F,4K8F,du,B,-320.0,PRO,HIS,NHE,PRO/HIS,HIS/PRO,other,other,other,HIS,[],False,0,0,0,other,1,0,0,0
4MU8,4MU8,du,C,269.0,-,HIS,SHE,-/HIS,-/HIS,-/HIS,-/HIS,-,HIS,[],False,0,0,0,other,1,0,0,0
6U97,6U97,uu,C,179.3,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,0,1,0,0
2C1D_CSS,2C1D_CSS,dd,C,-432.0,CSS,HIS,NHE,CSS/HIS,CSS/HIS,other,other,other,HIS,[],False,0,0,0,other,0,0,0,1
2C1D_MET,2C1D_MET,du,C,189.0,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
2GSM,2GSM,du,A,300.0,-,HIS,NHE,-/HIS,-/HIS,-/HIS,-/HIS,-,HIS,[],False,0,0,0,other,1,0,0,0
1V9Z,1V9Z,dd,B,65.5,HIS,MET,SHE,HIS/MET,HIS/MET,other,HIS/MET,HIS,other,[],False,0,0,0,other,0,0,0,1
AAAA,AAAA,ud,C,,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,0,0,1,0
